lat,lon,time,week1,week2,week3,week4,weekm0,weekm1,weekm2,weekm3,later,clim_later,clim_week1,clim_week2,clim_week3,clim_week4,clim_weekm0,clim_weekm1,clim_weekm2,clim_weekm3,clim_mok_later,clim_mok_week1,clim_mok_week2,clim_mok_week3,clim_mok_week4,clim_mok_weekm0,clim_mok_weekm1,clim_mok_weekm2,clim_mok_weekm3,clim_con_later,clim_con_week1,clim_con_week2,clim_con_week3,clim_con_week4,
22,84,6/3/2025,0.029991474,0.490017935,0.307215575,0.059220196,0,0,0,0,0.11355482,0.053965842,0.175427769,0.290460622,0.298658355,0.134257437,0.042827424,0.004388772,1.21E-05,0,0.060007554,0.179284445,0.298355262,0.317942693,0.144410046,0.243645318,0.089421057,0.004781869,0,0.060007554,0.179284445,0.298355262,0.317942693,0.144410046,1
22,86,6/3/2025,0.045585245,0.619526089,0.220566821,0.030889742,0,0,0,0,0.083432103,0.037035913,0.233249104,0.283357119,0.199829887,0.074870813,0.129877232,0.039139594,0.002636615,0,0.04692065,0.276914391,0.337938738,0.246510169,0.091716053,0.349715219,0.188200633,0.001360414,0,0.04692065,0.276914391,0.337938738,0.246510169,0.091716053,1
22,88,6/3/2025,0.06838662,0.691465945,0.167536984,0.017538187,0,0,0,0,0.055072263,0.03228124,0.264764699,0.284598146,0.163231542,0.05613235,0.151599566,0.041108849,0.006257518,2.41E-05,0.041740577,0.327765788,0.348568581,0.210018438,0.071906617,0.385204538,0.24761208,0,0,0.041740577,0.327765788,0.348568581,0.210018438,0.071906617,1
24,76,6/3/2025,0.014223763,0.251087281,0.250052368,0.19444466,0,0,0,0,0.290191928,0.39050817,0.072495981,0.143381011,0.185731398,0.188019763,0.018053768,0.001766755,4.11E-05,0,0.404255406,0.071309956,0.143782343,0.188358327,0.192293968,0.103646672,0.033870938,0.003910842,8.15E-05,0.404255406,0.071309956,0.143782343,0.188358327,0.192293968,1
24,78,6/3/2025,0.008242293,0.308104582,0.338642424,0.171401212,0,0,0,0,0.17360949,0.345081529,0.066430689,0.154895324,0.216788449,0.196479248,0.016834772,0.003261075,2.27E-04,0,0.358147893,0.065061885,0.154467718,0.220421729,0.201900775,0.117351282,0.023530552,9.17E-04,0,0.358147893,0.065061885,0.154467718,0.220421729,0.201900775,1
24,80,6/3/2025,0.008466845,0.325587667,0.338294927,0.160864156,0,0,0,0,0.166786404,0.302841831,0.070569637,0.159967201,0.228160794,0.221085811,0.016152407,0.001220031,0,0,0.315301185,0.068979518,0.159078765,0.231331041,0.225309491,0.114453696,0.023261054,9.38E-04,0,0.315301185,0.068979518,0.159078765,0.231331041,0.225309491,1
24,82,6/3/2025,0.01273919,0.39025215,0.324195224,0.120333917,0,0,0,0,0.152479518,0.162954414,0.100119087,0.199337256,0.279259425,0.230368354,0.026699119,0.001202058,0,0,0.174368424,0.100034592,0.200302547,0.285550371,0.239744066,0.149313403,0.03000543,8.95E-04,0,0.174368424,0.100034592,0.200302547,0.285550371,0.239744066,1
24,84,6/3/2025,0.034915199,0.511987633,0.278775401,0.06641481,0,0,0,0,0.107906957,0.146602805,0.133750309,0.218140141,0.24584144,0.19358405,0.054223365,0.007692373,1.62E-04,0,0.161828569,0.139237361,0.228999712,0.261529617,0.208404741,0.175963023,0.048864674,0.00137368,0,0.161828569,0.139237361,0.228999712,0.261529617,0.208404741,1
24,86,6/3/2025,0.063444779,0.590222697,0.254315841,0.030632663,0,0,0,0,0.06138402,0.078485121,0.191922639,0.234879374,0.246140145,0.127524222,0.097317118,0.022360691,0.001368887,0,0.092711791,0.214052279,0.263722528,0.281195317,0.148318085,0.284300437,0.134328166,0.006084347,0,0.092711791,0.214052279,0.263722528,0.281195317,0.148318085,1
24,88,6/3/2025,0.116054142,0.655102741,0.194734117,0.009025637,0,0,0,0,0.025083363,0.026091211,0.295673686,0.247491223,0.182704749,0.044580529,0.159666044,0.03853516,0.005238912,1.67E-05,0.033830895,0.367341761,0.307201645,0.233748664,0.057877035,0.450220605,0.20895867,0,0,0.033830895,0.367341761,0.307201645,0.233748664,0.057877035,1
26,76,6/3/2025,0.009685925,0.122322676,0.193330464,0.215606063,0,0,0,0,0.459054873,0.537996198,0.029095235,0.08534763,0.15046359,0.189422945,0.006018258,6.31E-04,5.29E-06,0,0.55004047,0.027995662,0.083286554,0.148904849,0.189772465,0.058599175,0.015673077,0.001712902,1.94E-05,0.55004047,0.027995662,0.083286554,0.148904849,0.189772465,1
26,78,6/3/2025,0.005971627,0.160312531,0.276656001,0.196545286,0,0,0,0,0.360514555,0.469625726,0.031550871,0.090982926,0.184323064,0.20438831,0.016645978,0.002451351,2.86E-05,0,0.486071027,0.031491454,0.089349802,0.184575554,0.208512162,0.071606394,0.025001136,0.004607857,3.58E-04,0.486071027,0.031491454,0.089349802,0.184575554,0.208512162,1
26,80,6/3/2025,0.007498658,0.186536484,0.272375853,0.187176489,0,0,0,0,0.346412515,0.439807025,0.048066675,0.096490593,0.181400405,0.21919659,0.013701396,0.001322483,1.31E-05,0,0.454479907,0.047446219,0.095179264,0.180983828,0.221910783,0.083612808,0.028917995,0.004399672,2.07E-04,0.454479907,0.047446219,0.095179264,0.180983828,0.221910783,1
26,82,6/3/2025,0.007399897,0.319363217,0.29972372,0.142230685,0,0,0,0,0.231282482,0.408292264,0.043685144,0.108481908,0.201639903,0.230446599,0.007323599,1.26E-04,0,0,0.419190349,0.042261985,0.105921954,0.200606419,0.232019294,0.073267884,0.016209591,0.001318535,8.04E-06,0.419190349,0.042261985,0.105921954,0.200606419,0.232019294,1
26,84,6/3/2025,0.024515501,0.496551948,0.279231141,0.062961305,0,0,0,0,0.136740105,0.154677778,0.122750352,0.190209626,0.241758417,0.216265187,0.063815864,0.010263293,2.57E-04,0,0.173213909,0.130273787,0.202029979,0.259153506,0.23532882,0.179220053,0.061099265,0.004421654,0,0.173213909,0.130273787,0.202029979,0.259153506,0.23532882,1
28,78,6/3/2025,0.008146345,0.12249657,0.213835387,0.189774999,0,0,0,0,0.4657467,0.552005156,0.028552649,0.075149834,0.14689076,0.18359436,0.011749431,0.001938523,4.87E-05,0,0.566924634,0.028085188,0.07354973,0.146650674,0.184789774,0.060988355,0.019566741,0.002905646,1.28E-04,0.566924634,0.028085188,0.07354973,0.146650674,0.184789774,1
